ZypMedia,http://www.zypmedia.com/,https://www.linkedin.com/company/3484916,"[u'Ramandeep Ahuja', u'Aman Sareen', u'Mark Goldman']","[u'Online Video Advertising', u'Local Advertising', u'Advertising Platforms']",USA
Shanghai Kidstone Network Technology,http://www.kidstone.com.cn/English_index.html,,[],[u'Games'],
Socogame,http://www.socogame.com,,[],"[u'Video', u'Games']",CHN
Xiaohongshu,http://xiaohongshu.com,,[],"[u'Marketplaces', u'Bridging Online and Offline', u'Location Based Services', u'Mobile Shopping']",CHN
Transerv,http://transerv.co.in,http://www.linkedin.com/company/transerv-pvt.-ltd,[],"[u'Mobile Payments', u'Investment Management', u'Payments']",IND
ZypMedia,http://www.zypmedia.com/,https://www.linkedin.com/company/3484916,"[u'Ramandeep Ahuja', u'Aman Sareen', u'Mark Goldman']","[u'Online Video Advertising', u'Local Advertising', u'Advertising Platforms']",USA
HITbills,http://www.hitbills.com,,"[u'Pawel Slowiakowski', u'Tomasz Danis']","[u'FinTech', u'Finance Technology', u'Billing', u'Software', u'Customer Service']",POL
StreamOcean,http://www.streamocean.com,,[],"[u'Photography', u'Video']",USA
72798.com,http://www.72798.com,,[],[u'E-Commerce'],CHN
Qqbaobao.com,http://qqbaobao.com/,,[],[u'Mobile'],
Meuugame,http://www.meuu.com,,[],[u'Social Media'],
SCRM,http://4s.16888.com/index.html,,[u'Mingyou Li'],[u'Mobile'],CHN
Lingdong.com,http://www.ilindo.com/,,[],[u'Mobile'],
Yippee Arts,http://letun.com,,[],[u'Enterprises'],
Lotour.com,http://www.lotour.com/,,[],[u'Travel'],CHN
Kuaishubao.com,http://www.kuaishubao.com/,,[],[u'Manufacturing'],
Happigo.com,http://www.happigo.com/,,[],[u'E-Commerce'],CHN
Stox,http://www.stox.com/,https://www.linkedin.com/company/stox,"[u'Roy Shaham', u'Or Arbel']","[u'Customer Service', u'Finance', u'Financial Services']",CAN
Youxiduo,http://www.youxiduo.com/,,[],[u'Mobile'],CHN
BJ100.com,http://www.bj100.com,,[],[u'E-Commerce'],
Guangzhou Huan Company,http://www.huan.tv,,[],[u'Mobile'],CHN
Huxiu.com,http://www.huxiu.com,,[u'Min Li'],[u'Social Media'],CHN
Haozu.com,http://www.haozu.com,,[],[u'Real Estate'],CHN
StrataCloud,http://stratacloud.com,http://www.linkedin.com/company/stratacloud,[],"[u'Software', u'Virtualization', u'Infrastructure']",USA
Ifensi.com,http://www.ifensi.com/,,[],[u'Social Media'],CHN
Owtware,http://www.owtware.com,,[u'Doug Walter'],"[u'Application Platforms', u'Data Security', u'Virtualization', u'Enterprise Software']",CHN
Chujian,http://www.chujian.in/,,[u'Manwu Quan'],[u'Manufacturing'],
Beijing Buding Fangzhou Science and Technology,http://buding.cn/,,[],[u'E-Commerce'],CHN
PAX Global Technology,http://www.paxglobal.com.hk,,[],[u'Point of Sale'],CHN
Aibo,http://aibo123.com,,[],[u'Mobile'],CHN
Juesheng.com,http://www.juesheng.com/,,[u'Zheng Dai'],"[u'EdTech', u'Education']",CHN
Beijing Tenfen Science and Technology,http://www.tenfen.com/,,[],[u'Mobile'],CHN
Shanghai Yimu Network Technology Co.,http://www.imoffice.com/,,[],[u'Mobile'],CHN
Biexdiao.com,http://www.biexdiao.com/,,[u'Wentian Lan'],[u'Mobile'],
Kadang.com,http://www.kadang.com/,,[],[u'Manufacturing'],CHN
Tuolar.com,http://www.tuolar.com/,,[u'Ye Zhao'],[u'E-Commerce'],CHN
Xianguo,http://xianguo.com,,[],[u'Mobile'],CHN
Wealink.com,http://www.wealink.com/,,[u'Ling Zou'],[u'Social Media'],
AnTuTu,http://www.antutu.com,,[],[u'Mobile'],
