Name,HomePage URL,LinkedIn Page,Founders,Category,Country,,
"TORICO Co.,Ltd.",http://torico-corp.com/index.html,,,"Entertainment Industry, Publishing, E-Books",,,
Vroom.com,http://www.vroom.com,https://www.linkedin.com/company/autoamerica,"Kevin Westfall, Marshall Chesrown","Cars, Automotive, E-Commerce",USA,,
Temando,http://www.temando.com,https://www.linkedin.com/company/temando,"Cameron Deane, Carl Hartmann",Information Technology,AUS,,
Renga,http://rengacad.com/en/,,,"Building Products, Architecture, CAD, 3D Technology",RUS,,
Meerkat,http://meerkatapp.co/,,"Uri Haramati, Itai Danino, Roi Tirosh, Ben Rubin","Video Streaming, Mobile, Mobile Video",USA,,
MEDIABONG,http://www.mediabong.com,,Yann BATTARD,"Semantic Search, Media, Video",USA,,
Lamabang,http://lamabang.com,,Jin Zan,"Parenting, E-Commerce",CHN,,
MuleSoft,http://www.mulesoft.com,http://www.linkedin.com/company/www.mulesoft.com,Ross Mason,"Data Integration, Enterprise Software",USA,,
Swiggy,http://www.swiggy.in,https://www.linkedin.com/company/swiggy-in,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety",Food Processing,IND,,
Rocket Lab,http://www.rocketlabusa.com/,https://www.linkedin.com/company/rocket-lab-limited,Peter Beck,Aerospace,USA,,
Cyfuse Biomedical,http://www.cyfusebio.com,https://www.linkedin.com/company/cyfuse-biomedical-k-k-,,Biotechnology,JPN,,
Mobil Factory,http://www.mobilfactory.co.kr,,,"Graphics, Internet, Mobile Games",KOR,,
NS Studio,http://www.nsstudio.co.kr,,,"Development Platforms, Gamification, Online Gaming",,,
Cuvepia,http://www.cuvepia.com,,,Technology,KOR,,
Merlot Laboratories,http://www.merlotlab.com/,,,"Electronics, Video, Lighting",KOR,,
miil,http://miil.me,,,"Apps, Consumer Goods, Mobile",,,
"WHITEPLUS, Inc",http://www.wh-plus.com,,,"Delivery, Business Services, Services",,,
RacoonSoft,http://www.racoonslice.com,,,Game,KOR,,
Lion Games,http://www.liongames.co.kr,,,Game,KOR,,
G plus games,http://www.gplusgames.com,,,Entertainment,,,
Drug Abuse Sciences,http://drugabusesciences.com,,,Biotechnology,USA,,
Miliboo,http://miliboo.com,https://www.linkedin.com/company/1550529,,Furniture,FRA,,
Firalis,http://firalis.com,,,Biotechnology,FRA,,
Entomed,http://www.entomed.se/,,,"Health Services Industry, Manufacturing, Medical Devices",SWE,,
Availpro,http://site.availpro.com,https://www.linkedin.com/company/972067,,Software,FRA,,
Aquarelle,http://www.aquarelle.com,https://www.linkedin.com/company/140920,,Public Relations,FRA,,
Amplitude,http://amplitude-technologies.com/,https://www.linkedin.com/company/amplitude-technologies,,Electronics,FRA,,
"(THE) ONE of THEM,Inc.",http://oneofthem.jp,,,"Apps, Games, Mobile",,,
Micro Benefits,http://www.microbenefits.com,,,,,,
easySYS,http://www.easysys.com,,"Stefan Brunner, Jeremias Meier, Marcel Lenz","Billing, CRM, SaaS, Accounting, Enterprise Software",CHE,,
Saluda Medical,http://www.saludamedical.com/,,John Parker,"Health and Wellness, Health Care, Medical, Medical Devices",AUS,,
Yangche Diandian,http://yangchediandian.com,,,"Cars, Automotive",CHN,,
The Players' Tribune,http://www.theplayerstribune.com/,https://www.linkedin.com/company/the-players'-tribune,Derek Jeter,"Sports, Social Media, Blogging Platforms",,,
Compass,http://www.compass.com,https://www.linkedin.com/company/compassinc,"Mike Weiss, Ugo Di Girolamo, Robert Reffkin, Ori Allon","Curated Web, Local, Mobile, Real Estate",USA,,
Glint,http://www.glintinc.com,http://www.linkedin.com/company/glint-inc-,"Goutham Kurra, Jim Barnett","Human Resources, Enterprise Software",USA,,
Maximum Education,http://www.maximumeducation.com,,,"Online Education, Training, Education",RUS,,
Sommetrics,http://www.sommetrics.com/,,"Jerry Aarestad, Richard Rose",Medical Devices,USA,,
Quantum Biosystems,http://www.quantumbiosystems.com/,,"Masateru Taniguchi, Toshihiko Honkura","Health Care, Health and Wellness, Biotechnology",JPN,,
Gryphon Therapeutics,http://www.gryphonsci.com,,,,,,
"EOS Climate, Inc.",http://eosclimate.com/,,"Todd English, Jeff Cohen, Joe Madden","Mobile Software Tools, Environmental Innovation, Clean Technology, Technology",USA,,
Ichuanyi,http://ichuanyi.com/,,,"Online Shopping, Retail, E-Commerce",,,
51Zhangdan,http://www.51zhangdan.com/index.html,,,Internet,CHN,,
51tour,http://www.51tour.com/,,,"Leisure, Tourism, Travel",CHN,,
Baebies,http://baebies.com/,https://www.linkedin.com/company/baebies-inc-,Richard West,Medical Devices,USA,,
Ginger,http://mygingerapp.com/,,,Apps,,,
Wave Life Sciences,http://wavelifesciences.com/,https://www.linkedin.com/company/wave-life-sciences,"Takeshi Wada, Greg Verdine",Biotechnology,USA,,
Veritone,https://veritone.com,http://www.linkedin.com/company/veritone,"Greg Cynaumon, Zeus Peleuses, Patrick Lennon, Chad Steelberg","Application Platforms, Cloud Computing, Media, Information Technology",USA,,
YOUR SL,http://yoursl.de/en/,https://www.linkedin.com/company/your-sl,,Information Technology,DEU,,
"xica Co.,Ltd.",http://xica-inc.com/,,,"Systems, Micro-Enterprises, Information Technology",,,
Uhuru,http://uhuru.co.jp/english/,,,,JPN,,
Team Spirit,http://www.teamspirit.co.jp/eng/,,,"Service Providers, Cloud Computing",JPN,,
Cydas,http://cydasinc.com/,,,,JPN,,
Ymatou,http://www.ymatou.com/,,,E-Commerce,JPN,,
Raise Marketplace,https://www.raise.com/,http://www.linkedin.com/company/raise-com,George Bousis,"Curated Web, Gift Card, E-Commerce",USA,,
Kreditech,http://www.kreditech.com,http://www.linkedin.com/company/kreditech-holding-ssl-gmbh,"Alexander Graubner-M\xfcller, Sebastian Diemer","FinTech, Big Data, Analytics, Banking, Finance, SaaS",DEU,,
api.ai,http://api.ai,,"Artem Goncharuk, Pavel Sirotin, Ilya Gelfenbeyn","Artificial Intelligence, Audio, Assisitive Technology, Natural Language Processing, Mobile",USA,,
Frankly Inc,http://franklyinc.com,https://www.linkedin.com/company/franklyinc,Steve Chung,Messaging,USA,,
Hopscotch,http://www.hopscotch.in/special/FB/Paid,https://www.linkedin.com/company/2942990,Rahul Anand,"Baby Accessories, Online Shopping, Kids, Consumer Goods, E-Commerce, Retail",IND,,
Grupo Xango,http://www.grupoxango.com/,https://www.linkedin.com/company/grupo-xang-s-a,,Startups,BRA,,
Minuto Seguros,http://www.minutoseguros.com.br/,https://www.linkedin.com/company/minuto-seguros,,Financial Services,BRA,,
HeatMatrix,http://www.heatmatrixgroup.com/,https://www.linkedin.com/company/1202979,,"Chemicals, Energy Efficiency, Waste Management",NLD,,
Xuexibao,http://www.xuexibao.cn/,,,Education,CHN,,
SunCommon,http://suncommon.com/,https://www.linkedin.com/company/suncommon,"James Moore, Duane Peterson",Energy,USA,,
TruMed Systems,http://trumedsystems.com,,Eugene A. Baker,Medical Devices,USA,,
Whistle Sports,http://whistlesports.com,https://www.linkedin.com/company/the-whistle,"Jeff Urban, John West","Entertainment, Video Streaming, Sports",USA,,
Hemics,http://www.hemics.com/,,,,NLD,,
10X Genomics,http://10xgenomics.com,https://www.linkedin.com/company/10x-technologies,Serge Saxonov,"Technology, Biotechnology",USA,,
NEXTracker,http://nextracker.com/,,,"Utilities, Renewable Energies, Solar",USA,,
Qualtera,http://www.qualtera.com/,https://www.linkedin.com/company/qualtera,,Semiconductors,FRA,,
Line0,http://www.line0.com/,,William W,"Food Processing, Restaurants, E-Commerce",CHN,,
#fame,http://livfame.com,https://www.linkedin.com/company/-fame?report.success=KJ_KkFGTDCfMt-A7wV3Fn9Yvgwr02Kd6AZHGx4bQCDiP6-2rfP2oxyVoEQiPrcAQ7Bf,,Media,IND,,
Faaso's,https://www.faasos.com,https://in.linkedin.com/company/faasos,"Kallol Banerjee, Jaydeep Barman",Food Processing,IND,,
RegioHelden,http://www.regiohelden.de,http://www.linkedin.com/company/regiohelden-gmbh,,Advertising,DEU,,
Pegged Software,http://peggedsoftware.com,,Michael Rosenbaum,"Recruiting, Service Providers, Human Resources, Software",USA,,
Thermondo,https://www.thermondo.de/,http://www.linkedin.com/company/thermondo-gmbh,Philipp A. Pausder,"Energy Efficiency, Technology",DEU,,
